,School_x,business_school,Acceptance Rate,Average Salary,Public(0) or Private(1),Reputation Score,Alumni,Tuition_Fees_17&18,Distance to Nearest City (Miles),Distance Far vs. Close
21,University of Richmond (Robins),Robins,0.3031,62969,1,,,50910.0,95.92986343028696,Far
22,University of Washington (Foster),Foster,0.2095,61039,0,3.9,57000.0,23256.0,3.85696269559169,Close
23,University of Minnesota (Carlson),Carlson,0.2844,56989,0,3.9,55000.0,20510.0,1.108483300956961,Close
24,Babson College,Babson College,0.24,57665,1,3.7,43000.0,49664.0,11.537385810482736,Close
25,Worcester Polytechnic Institute (Foisie),Foisie,0.36,69930,1,,38000.0,48628.0,38.918462726760026,Close
26,Fordham University (Gabelli),Gabelli,0.449,63777,1,3.3,180000.0,50601.0,12.157420087050989,Close
27,University of Georgia (Terry),Terry,0.4744,56428,0,3.8,70000.0,21105.0,59.72932075069157,Far
28,University of Houston (Bauer),Bauer,0.2518,54144,0,3.2,,15886.0,3.199364932191736,Close
29,Rutgers Business School (New Brunswick),New Brunswick,0.46,60228,0,3.2,43000.0,22608.5,26.25287739145775,Close
30,Texas A&M University (Mays),Mays,0.3407,57286,0,3.8,,23077.0,83.0060454222879,Far
31,Syracuse University (Whitman),Whitman,0.381,59371,1,3.4,30000.0,46755.0,194.53967602282248,Far
32,University of Massachusetts-Amherst (Isenberg),Isenberg,0.306,57782,0,3.4,48000.0,24444.0,75.40551290241179,Far
33,University of Utah (Eccles),Eccles,0.408,51478,0,3.5,37000.0,18505.5,363.6304989714836,Far
34,American University (Kogod),Kogod,0.316,58670,1,,128000.0,46615.0,3.438609330456038,Close
35,Ohio State University (Fisher),Fisher,0.386,54740,0,4.0,80000.0,20144.0,3.351521645642385,Close
36,Pennsylvania State University (Smeal),Smeal,0.37,60046,0,3.8,88000.0,19441.0,154.14618690329766,Far
37,University of Denver (Daniels),Daniels,0.463,50975,1,,40000.0,48669.0,4.649337508770598,Close
38,Texas Christian University (Neeley),Neeley,0.4656,60719,1,,,44760.0,3.5861098110030567,Close
39,University of Kentucky (Gatton),Gatton,0.6979,49175,0,3.3,300000.0,19994.0,69.7521421562071,Far
40,Purdue University (Krannert),Krannert,0.62,57473,0,3.8,40000.0,14167.5,60.19022096509104,Far
41,Rensselaer Polytechnic Institute (Lally),Lally,0.42,67200,1,3.2,,52305.0,140.36540325607322,Far
42,Michigan State University (Broad),Broad,0.3219,58706,0,3.8,80000.0,27699.5,77.80726796592977,Far
43,Santa Clara University (Leavey),Leavey,0.435,59333,1,3.3,140000.0,49858.0,2.9451317156834995,Close
44,Miami University (Farmer),Farmer,0.626,59540,0,3.3,40000.0,10879.5,78.35694292744445,Far
45,St. John's University (Tobin),Tobin,0.59,59146,1,,,40197.0,11.198676392918625,Close
46,Seton Hall University (Stillman),Stillman,0.576,59451,1,,20000.0,40588.0,12.72756979874532,Close
47,University of Texas-Dallas (Jindal),Jindal,0.6,58100,0,3.3,50000.0,20592.0,14.686045639566627,Close
48,Rutgers Business School (Newark),Newark,0.55,54211,0,,43000.0,22608.5,26.25287739145775,Close
49,University of Tennessee-Knoxville (Haslam),Haslam,0.85,50446,0,3.5,,22180.0,160.36330614081896,Far
50,St. Thomas University (Opus),Opus,0.83,48000,1,,34000.0,29730.0,0.6418850181908933,Close
51,Drexel University (LeBow),LeBow,0.74,57185,1,,40000.0,52002.0,1.2840279732300004,Close
52,Elon University (Love),Love,0.721,52299,1,,,34273.0,96.6636367989362,Far
53,University of Oklahoma (Price),Price,0.6177,53134,0,3.4,33100.0,16753.5,18.31665163601776,Close
54,Rochester Institute of Technology (Saunders),Saunders,0.721,51273,1,3.3,25000.0,40068.0,250.14586270203503,Far
55,University of Arizona (Eller),Eller,0.79,54041,0,3.7,55000.0,22026.5,105.78699257764632,Far
56,University of New Hampshire (Paul),Paul,0.641,50420,0,,19000.0,25352.0,54.01492346276303,Far
57,Texas Tech University (Rawls),Rawls,0.764,53473,0,,53000.0,13756.0,269.80059682574034,Far
58,Evansville University (Schroeder),Schroeder,0.886,50537,1,,,35396.0,98.54174343841832,Far
59,Villanova University,Villanova,0.2207,63709,1,3.4,130000.0,51284.0,11.107454869942943,Close
60,Wake Forest University,Wake Forest,0.248,68300,1,3.6,72452.0,51400.0,70.33159297739473,Far
61,Northeastern University (D'Amore-McKim),D'Amore-McKim,0.1868,66101,1,3.4,56000.0,49497.0,2.0643312243044973,Close
62,University of Wisconsin-Madison,Wisconsin,0.35,58603,0,4.0,45593.0,22658.0,75.62922141240873,Far
63,Lehigh University,Lehigh,0.2239,66598,1,3.2,80000.0,50740.0,46.38625068201559,Close
64,University of Illinois at Champaign-Urbana (Gies),Gies,0.4898,63079,0,,70000.0,26006.0,112.3398787765237,Far
65,University of Pittsburgh,Pittsburgh,0.44,54370,0,3.6,,24861.0,256.0068536689513,Far
66,Hult International Business School,Hult International,0.5,34708,1,,,38584.0,0.9845052922947872,Close
67,University of San Diego,San Diego,0.53,57119,1,,70000.0,47708.0,4.191835257209316,Close
68,Christopher Newport University,Christopher Newport,0.746,48000,0,,,19752.0,130.53547869526,Far
69,Providence College,Providence,0.51,57174,1,,,48764.0,40.55553763653164,Close
70,James Madison University,James Madison,0.6831,58257,0,,,19030.0,104.28184213183016,Far
71,University of Akron,Akron,0.7399,42651,0,,25000.0,14535.5,109.75080867585142,Far
72,Florida Southern College,Florida Southern,0.5,43366,1,,,34774.0,159.37752491498463,Far
73,Lipscomb University,Lipscomb,0.61,46875,1,,,30932.0,4.057080863733806,Close
74,University of North Carolina-Wilmington,North Carolina-Wilmington,0.61,44507,0,,89500.0,14032.5,182.83475713729044,Far
75,Ithaca College,Ithaca,0.8018,50649,1,,61000.0,42884.0,174.86461254799343,Far
76,Northern Illinois University,Northern Illinois,0.5384,51120,0,,50000.0,19058.0,58.85659217306067,Far
77,University of Michigan-Dearborn,Michigan-Dearborn,0.62,49507,0,,575000.0,18754.0,9.59429184741664,Close
78,Duquesne University (Palumbo-Donahue),Palumbo-Donahue,0.76,50592,1,,,14825.0,72.27533867029564,Far
79,Bowling Green State University,Bowling Green,0.7,53300,0,,31000.0,48484.0,328.7103074224219,Far
80,University of Miami,Miami,0.3044,60801,1,3.4,40000.0,5460.0,339.40255341540643,Far
81,Brigham Young University (Marriott),Marriott,0.6316,55148,1,3.6,63000.0,21863.5,29.89049058483645,Close
82,The College of New Jersey,TCNJ,0.41,58000,0,,80000.0,21912.0,85.62486296902229,Far
83,University of South Carolina (Darla Moore),Darla Moore,0.651,61946,0,3.6,48000.0,23155.0,36.64928044920054,Close
84,University of Delaware (Lerner),Lerner,0.464,54087,0,,34400.0,18146.5,335.2036801449896,Far
85,University of Missouri-Columbia (Trulaske),Trulaske,0.6917,48827,0,3.2,32000.0,42166.0,232.20988891959223,Far
86,St. Louis University (Chaifetz),Chaifetz,0.8303,63333,1,,25625.0,39820.0,53.214610385747456,Far
87,Sacred Heart University (Jack Welch),Jack Welch,0.608,54784,1,,,36394.0,257.6815621230651,Far
